ai1F,ai2F,ai1B,ai2B
3.459369,3.417213,-0.015045,-0.012209
3.455786,3.41889,-0.015816999999999998,-0.016478
3.453511,3.419283,-0.018556,-0.019331
3.451881,3.4184940000000004,-0.019933000000000003,-0.022778
3.44952,3.418736,-0.019456,-0.026923
3.4488300000000005,3.4180589999999995,-0.020212,-0.029695
3.447221,3.414636,-0.018408,-0.032905000000000004
3.4449730000000005,3.412748,-0.015933000000000003,-0.035952
3.4451660000000004,3.4100910000000004,-0.015318,-0.03689
3.448686,3.40635,-0.014995,-0.037216
3.44592,3.403763,-0.014179,-0.038214
3.441412,3.400421,-0.013321,-0.037605
3.442826,3.398226,-0.016962,-0.036542000000000005
3.4426050000000004,3.395859,-0.020807,-0.035399
3.439599,3.3931980000000004,-0.019903,-0.032901
3.437521,3.391667,-0.02046,-0.031901
3.437321,3.389525,-0.01868,-0.029683
3.437596,3.387424,-0.019479,-0.026810000000000004
3.437903,3.3844540000000003,-0.020627,-0.026157
3.436894,3.381819,-0.017874,-0.023507
3.4334620000000005,3.378582,-0.018359,-0.021507
3.435225,3.37365,-0.020117,-0.019723
3.437094,3.3708050000000003,-0.022213,-0.015790000000000002
3.43045,3.367668,-0.021762,-0.012086
3.426689,3.3643370000000004,-0.019759,-0.006876999999999999
3.4266050000000003,3.362944,-0.018893,-0.002305
3.4255480000000005,3.360145,-0.016163,0.002223
3.4279620000000004,3.359249,-0.013208,0.008634000000000001
3.4267769999999995,3.358164,-0.013411,0.013228
3.423627,3.3560410000000003,-0.012147,0.015975
3.425851,3.357035,-0.012709,0.019742
3.425437,3.356576,-0.015969,0.022665
3.419839,3.355128,-0.017929,0.02295
3.41552,3.355659,-0.021474,0.02377
3.4153830000000003,3.354472,-0.023434,0.024169
3.416329,3.353521,-0.022822,0.024469
3.4131440000000004,3.3536300000000003,-0.023055000000000003,0.025175
3.4112440000000004,3.352877,-0.022878,0.025204
3.411914,3.3528580000000003,-0.02139,0.026193
3.411997,3.354106,-0.022236,0.027198000000000003
3.412383,3.3544160000000005,-0.02132,0.027239
3.40935,3.354767,-0.019679,0.027865
3.406957,3.3574870000000003,-0.020687,0.028603
3.406953,3.358158,-0.020728,0.027641
3.406371,3.357848,-0.020149,0.025533
3.404527,3.360539,-0.018874,0.023507
3.4028400000000003,3.361472,-0.017256999999999998,0.020072
3.403925,3.361118,-0.015875,0.015828000000000002
3.4036730000000004,3.3627160000000003,-0.015326,0.01198
3.40111,3.3628400000000003,-0.014852,0.008255
3.400024,3.361961,-0.013803,0.005507
3.398936,3.362496,-0.014391,0.001938
3.398425,3.361696,-0.014434,-0.00067
3.397555,3.361175,-0.014478,-0.002725
3.393469,3.36181,-0.017061,-0.005602
3.391249,3.360554,-0.020426,-0.007787
3.393335,3.359803,-0.020541,-0.010829
3.394506,3.359904,-0.019356,-0.014257
3.393468,3.358396,-0.021928,-0.018022
3.3930870000000004,3.3573470000000003,-0.021249,-0.022335
3.391729,3.3570519999999995,-0.020787,-0.025730000000000003
3.389636,3.355706,-0.022924,-0.029052
3.3889660000000004,3.3534050000000004,-0.019461000000000003,-0.031598
3.387014,3.3512120000000003,-0.018012,-0.033473
3.384898,3.3489230000000005,-0.018119,-0.033541
3.38517,3.345643,-0.01615,-0.033413
3.384291,3.342385,-0.015318,-0.034266000000000005
3.38242,3.339875,-0.014781,-0.031881
3.382332,3.3373480000000004,-0.014568,-0.031163
3.380897,3.333917,-0.013604,-0.030437
3.377986,3.331552,-0.012972999999999998,-0.028846
3.378429,3.328943,-0.011836,-0.029572
3.3765629999999995,3.325956,-0.013099,-0.028617
3.373807,3.323684,-0.016603,-0.029118
3.376013,3.321253,-0.017291,-0.030266
3.373664,3.3184400000000003,-0.017183,-0.028288
3.369999,3.3162260000000003,-0.018752,-0.027464
3.3724199999999995,3.313929,-0.018177,-0.026242
3.3713900000000003,3.310369,-0.017887,-0.022597
3.367713,3.30811,-0.017503,-0.019141
3.3672470000000003,3.3062660000000004,-0.01591,-0.015896
3.366624,3.302317,-0.017524,-0.011308
3.365638,3.301911,-0.017242,-0.007626999999999998
3.363302,3.301331,-0.016305,-0.003764
3.3620589999999995,3.298042,-0.01725,0.0
3.3614620000000004,3.2982370000000003,-0.017797999999999998,0.0018
3.360783,3.298566000000001,-0.019449,0.004177
3.361809,3.297125,-0.019544,0.006869
3.3603940000000003,3.2973800000000004,-0.016273,0.008194
3.359683,3.298411,-0.014711000000000004,0.010296
3.35883,3.2978050000000003,-0.014652000000000004,0.013319
